79.	SUN D’OR International Airlines (РИНГ-АВИА)	2U	383	5% от опубл. тарифов на собств. рейсы 2U (В договоре Interline отдельно не прописан.)				
94.	AEROFLOT	SU	555	"1.1.На рейсы под кодом «SU», включая рейсы по соглашению «Код-шеринг» (в том числе по тарифам ИАТА):
- за продажу в Эконом классе 7 % от тарифа;
- за продажу в Бизнес классе  9 % от тарифа;
- за переоформление авиабилета с доплатой по тарифу в Эконом классе 7 % от суммы доплаты по тарифу;
- за переоформление авиабилета с доплатой по тарифу в Бизнес классе 9% от суммы доплаты по тарифу;
- за продажу при комбинации тарифов Эконом класса и Бизнес класса 7% от тарифа;
- за переоформление авиабилета с доплатой по тарифу при комбинации тарифов Эконом класса и Бизнес класса 7% суммы доплаты по тарифу.
1.2. На рейсы других авиакомпаний по соглашениям «Интерлайн» при продаже перевозок в комбинации с рейсом под кодом «SU»:
- за продажу пассажирских перевозок по сквозным или участковым тарифам –   5 процентов от всего тарифа;
- при переоформлении авиабилета с доплатой по тарифу –  5  процентов  от суммы доплаты по тарифу.
1.3. На рейсы других авиакомпаний по соглашениям «Интерлайн» при продаже перевозок без комбинации с рейсом под кодом «SU»:
- 1 евро по курсу GDS на день выписки авиабилета) за авиаперевозку  (в рублевом эквиваленте, исчисляемом по расчетному курсу, установленному ОАО «Аэрофлот» на день оформления авиабилета с округлением до целого числа в большую сторону);
- 1 евро по курсу GDS на день выписки авиабилета) при переоформлении авиабилета с доплатой по тарифу (в рублевом эквиваленте, исчисляемом по расчетному курсу, установленному ОАО «Аэрофлот» на день оформления  авиабилета с округлением до целого числа в большую сторону); 
  - за оформление бесплатных  пассажирских перевозок комиссия не начисляется."
17.	AIR NAMIBIA (АВИАРЕПС)	SW	186	7% от опубл. тарифов на собств. рейсы SW (В договоре Interline отдельно не прописан.)
87.	THAI AIRWAYS	TG	217	"7% от опубл. и конфиде.тарифов на международные рейсы TG
5% от опубл. тарифов на внутренние рейсы TG 
1% от опубл. тарифов на рейсы Interline с участком TG. (Билеты по Interline могут быть выписаны только при условии присутствия сегментов TG.)"
86.	TURKISH AIRLINES	TK	235	"7% от полного опубл. тарифа IATA на рейсы TK;
7% от тарифа эконом класса на рейсы TK;
12% от тарифа бизнес класса на рейсы TK. (только при вылете из РФ. При вылете из других пунктов 7%);
5% от тарифа эконом и бизнес класса при перелетах внутри Турции на рейсы TK.
*Если C+Y, то 12% Если С+B(M и т.п.) 7%
(Билеты «Интерлайн» под кодом TK могут быть выписаны только в случае существования опубл. тарифов и только при условии, если TK выполняет первый рейс)
С 01.01.2010 по 31.12.2010г, по направлениям Уфа – Турция:
эконом класс 10%, бизнес класс 17%"
85.	TAP PORTUGAL	TP	047	1% от опубл. тарифов на собств. рейсы TP и рейсы Interline
89.	UNITED AIRLINES (ГЛОНАСС)	UA	016	"До 31.12.2010г. 7% от опубл. тарифов эконом. класса за исключением подклассов Y, B на все рейсы UA из Москвы в США, Канаду и Латинскую Америку с обяз. уч. трансатлантич. рейса UA965/UA964.
До 31.12.2010г. 9% от опубл. тарифов в следующих подклассах бронирования: F/A/J/C/D/Z/Y/B на все рейсы UA из Москвы в США, Канаду и Латинскую Америку с обязат. уч. трансатлантич. рейса UA965/UA964.
0% - на продажу рейсов UA без участия трансатлант. рейса авиакомпании UA965/UA964.
1% - от всех остальных опубл. тарифов на собств. рейсы UA"
81.	SRI LANKAN AIRLINES	UL	603	1% от всех опубл. тарифов на собств. рейсы UL (В договоре Interline не прописан.)
95.	Трансаэро 	UN	691	"11% МВЛ, ВВЛ Класс F (Империал); J, C, D (Бизнес)
7% МВЛ. ВВЛ Y, H, M, Q, B, K, O, R, E
3% МВЛ. ВВЛ L, V, X, T, N, I, G, W, U
12% Oт всех применяемых опубликованных тарифов на собственные  регулярные рейсы между Москвой и Пекином/Майами/Нью-Йорком (OW,RT)  и на сквозные перевозки между пунктами полетов АК  «ТРАНСАЭРО» на территориях России, Украины, Казахстана, Узбекистана и Пекином/Майами/Нью-Йорком (OW,RT).
4% МВЛ. ВВЛ Interline с участком UN
от применяемых опубликованных тарифов премиального экономического, туристического экономического и бизнес классов (one way, round trip; open jaw) за все виды продаж на рейсы UN, включая Interline продажи премиального экономического, туристического экономического и бизнес классов с участком авиакомпании «ТРАНСАЭРО»; запрещена продажа по Interline без участка авиакомпании «ТРАНСАЭРО».
5% Дополнительное вознаграждение на продажу Interline от применяемых опубликованных тарифов первого, бизнес, премиального экономического и туристического экономического классов на рейсы авиакомпаний Lufthansa (LH), Austrian Airlines (OS), Swiss International Airlines (LX), British Midland Airways (BD) от Москвы и/или через Москву с участком перевозки на рейсы ТРАНСАЭРО. Дополнительное вознаграждение не выплачивается в случае остальных Interline продаж, а также с сумм произведенных возвратов.   
 (Т.е. комиссия по этим Interline будет 9%) "
13.	Air Europa	UX	996	5% от всех опубл. тарифов на рейсы UX (В договоре Interline отдельно не прописан.)
90.	VIETNAM AIRLINES	VN	738	"7% от конфиденциальных тарифов на рейсы VN;
7% от опубликованных тарифов на международных рейсах VN;
5% от опубликованных тарифов VN на всех внутренних рейсах VN во Вьетнаме;
0% от оформленных под кодом 738 опубл.тарифов на рейсы Interline."
91.	Virgin Atlantic Airways Limited (ГЛОНАСС)	VS	932	"7% от опубл. тарифов на собств. рейсы VS
7% от опубл. тарифов на рейсы Interline (до Лондона: BD, BA, SU), выписанные на ОДНОМ бланке. Первый трансатлантический перелет на Virgin Atlantic является обязательным."
6.	AEROSVIT	VV	870	"5% от опубл. тарифов на рейсы VV;
3% от опубл. тарифов на рейсы VV в комбинации с рейсами Interline
1% от тарифа на рейсы Interline без участка VV"
70.	OMAN AIR	WY	910	1% от опубл. тарифов на собств. рейсы WY (В договоре Interline не прописан.)
78.	SkyExpress Limited	XW	492	"5% от всех опубл. тарифов на собств.рейсы XW (В договоре Interline не прописан.)
с 01.10.10г по 30.11.10 года 
12%  по тарифам YOWG, VOWG, UOWG, TOWG, SOWG, NOWG, MOWG, LOWG, KOWG на направлениях:
• Между Москвой и Санкт-Петербургом
• Между Москвой и Ростовом-на-Дону
• Между Москвой и Тюменью
• Между Москвой и Екатеринбургом
• Между Москвой и Пермью"
68.	MONTENEGRO AIRLINES	YM	409	8% от всех опубл. тарифов на рейсы YM (В договоре Interline не прописан.)
51.	Heli air Monaco (РИНГ АВИА)	YO	747	1 руб. с билета на все виды тарифов (В договоре Interline не прописан.)
19.	AIGLE AZUR (РИНГ-АВИА)	ZI	439	1% от опубл. тарифов на собств. рейсы ZI (В договоре Interline отдельно не прописан.)
				
				
26.	BRITISH AIRWAYS (часть №1)	BA	125	"1 euro с билета по опубл. тарифам на собств. рейсы BA;
1 euro с билета по опубл. тарифам на рейсы Interline, с участком BA. (British Airways и другие перевозчики (oneworld и авиакомпании имеющие договор interline с British Airways), выписанные на одном бланке. Правило первого перевозчика не является обязательным, то есть первый перелет может быть выполнен другой авиакомпанией. Не  разрешается использование бланков ВА для выписки других перевозчиков (даже авиакомпаний членов альянса oneworld, кроме Qantas) без участия ВА. Нарушение этого правила повлечет за собой ADM на сумму GBP 25."
